War,qid,description
1585 Ottoman expedition against the Druze,,
1851 Chilean revolution,Q4554827,failed attempt to overthrow Chile's government
1859 Chilean revolution,,
1911 Revolution,Q190517,revolution in China that overthrew the Qing dynasty and established the Republic of China
1948 Palestine War,Q49097,first war of the Arab–Israeli conflict
1990 Chadian coup d'ÃÂ©tat,,
Aceh War,Q277450,1873–1904 war resulting in Dutch annexation of Aceh
Adal-Ethiopian War,,
Afghan Civil War,Q1519107,armed conflicts in Afghanistan since 1978
Afghan Wars of Succession,,
Afghan-Sikh Wars,,
Agathoclean War,,
AhomâMughal wars,,
Aksum-Sabaean War,,
Al-Khurma dispute,Q12244155,1918–1919 war between Abdulaziz Ibn Saud of the Emirate of Nejd and Hasa and the Hashemites of the Kingdom of Hejaz
Albanian-Ottoman Wars,,
Algerian War,Q200790,war between France and the Algerian independence movement from 1954 to 1962
Allesis Insurrection,,
American Civil War,Q8676,1861–1865 civil war in the United States between the North and the South over the enslavement of African-Americans
American Colonial Wars,,
American Indian Wars,Q849680,"frontier conflicts between American, Canadian and European settlers and Indigenous peoples of the Americas"
American Revolutionary War,Q40949,"1775–1783 war between Great Britain and the Thirteen Colonies, which won independence as the United States of America"
American-Moro Wars,,
An Lushan rebellion,Q253774,rebellion against the Tang dynasty of China in 755 C.E
Anatolian Rebellion,,
Angevin Conquest of the Two Sicilies,,
Anglo Saxon Territorial War,,
Anglo-Arab Wars,,
Anglo-Ashanti wars,Q722051,series of wars
Anglo-Dutch wars,Q755170,series of wars during the 17th and 18 century
Anglo-Egyptian War,Q616939,1882 armed conflict in Egypt
Anglo-French Wars,Q4763632,list of wars between England and France
Anglo-Norman Rebellion,,
Anglo-Norman invasion of Ireland,Q56003240,scholarly article
Anglo-Persian War,Q617772,war between Great Britain and Iran
Anglo-Portuguese Colonial Wars,,
Anglo-Saxon settlement of England,Q3435247,process which changed the language and culture of most of what became England from Romano-British to Germanic
Anglo-Scottish Territorial Wars,,
Anglo-Scottish Wars,Q1640586,wars and battles between England and Scotland
Anglo-Spanish War,Q430726,1585–1604 war between the kingdoms of Spain and England
Anglo-Welsh Wars,Q76470954,edition; published in 2001
Anglo-Zulu War,Q228911,war between the British Empire and the Zulu Kingdom fought in the Zulu lands in South Africa in 1879
Angolan War,Q1780216,conflict in Angola between 1961 and 1975
Apache Wars,Q617827,armed conflicts between indigenous peoples and the US Army from 1849 to circa 1924
Arab-Byzantine wars,,
Aragon's Conquest of Naples,,
Aragon's Conquest of Sardinia,,
Aragonese Civil War,,
Arcadian War,,
Archidamian Wars,,
Argentine Civil Wars,Q2697981,series of civil wars in Argentina between 1814 and 1880
Argentine War of Independence,Q617409,Argentina's war against Spain for independence
Argentine-Brazilian War,,
Argentine-Uruguayan War,,
